rank_in_wilaya,WILAYA,COMMUNE,ZONE_RPA,nb_polices,capital_B,pml_B,prime_M
8,TIPAZA,MEURAD,Zone III,158,0.368,0.11,0.3
11,BLIDA,CHEBLI,Zone III,55,0.351,0.105,0.2
12,BLIDA,BOUGARA BLIDA,Zone IIb,110,0.34,0.068,0.2
48,ALGER,BOUMERDES,Zone III,64,0.337,0.101,0.2
9,TIPAZA,AHMER EL AIN,Zone III,123,0.334,0.1,0.3
4,AIN DEFLA,DJELIDA,Zone III,43,0.333,0.1,0.2
15,BOUMERDES,ZEMMOURI,Zone III,43,0.322,0.097,0.2
16,BOUMERDES,BORDJ MENAIEL,Zone IIb,89,0.319,0.064,0.2
10,TIPAZA,CHERCHEL,Zone III,75,0.308,0.093,0.2
11,TIPAZA,FOUKA,Zone III,66,0.286,0.086,0.2
12,TIPAZA,NADOR,Zone III,88,0.278,0.083,0.2
17,BOUMERDES,OULED HADJADJ,Zone III,67,0.274,0.082,0.2
49,ALGER,RAIS HAMIDOU,Zone III,66,0.262,0.079,0.2
50,ALGER,RAHMANIA,Zone III,63,0.261,0.078,0.2
13,TIPAZA,GOURAYA,Zone III,94,0.259,0.078,0.2
51,ALGER,EL MADANIA,Zone III,56,0.258,0.077,0.2
52,ALGER,BOUFARIK,Zone III,23,0.235,0.07,0.1
14,TIPAZA,SIDI RACHED,Zone III,90,0.228,0.068,0.2
1,RELIZANE,OUED RHIOU,Zone IIb,4,0.221,0.044,0.0
18,BOUMERDES,NACIRIA,Zone IIb,27,0.22,0.044,0.2
53,ALGER,BEJAIA,Zone III,6,0.215,0.064,0.1
54,ALGER,BAINS ROMAINS,Zone III,30,0.198,0.059,0.2
5,AIN DEFLA,KHEMIS MILIANA,Zone III,25,0.188,0.056,0.1
55,ALGER,AIN BENIAN (AIN DEFLA),Zone III,14,0.179,0.054,0.1
19,BOUMERDES,AFIR,Zone IIb,28,0.176,0.035,0.1
15,TIPAZA,SIDI AMER,Zone III,75,0.176,0.053,0.2
20,BOUMERDES,SIDI DAOUD,Zone III,71,0.174,0.052,0.2
16,TIPAZA,AIN TAGOURAIT,Zone III,42,0.169,0.051,0.1
56,ALGER,TASSALA EL MERDJA,Zone III,33,0.168,0.05,0.1
57,ALGER,AIN NAGA,Zone III,45,0.168,0.05,0.1
17,TIPAZA,MENACEUR,Zone III,68,0.168,0.05,0.2
18,TIPAZA,DAMOUS,Zone III,44,0.158,0.048,0.1
58,ALGER,BOUINAN,Zone III,40,0.157,0.047,0.1
6,AIN DEFLA,ROUINA,Zone IIb,51,0.152,0.03,0.1
19,TIPAZA,CHAIBA,Zone III,30,0.151,0.045,0.1
20,TIPAZA,SIDI AMAR TIPAZA,Zone III,30,0.138,0.042,0.1
21,BOUMERDES,TAOURGA,Zone IIb,60,0.138,0.028,0.2
59,ALGER,BOUDOUAOU,Zone III,20,0.137,0.041,0.1
60,ALGER,BLIDA,Zone III,37,0.135,0.04,0.1
13,BLIDA,MEFTAH,Zone IIb,39,0.135,0.027,0.1
4,CHLEF,OUED SLY,Zone IIb,54,0.134,0.027,0.2
7,AIN DEFLA,EL AMRA,Zone IIb,48,0.131,0.026,0.1
61,ALGER,TIPAZA,Zone III,31,0.128,0.038,0.1
21,TIPAZA,LARHAT,Zone III,37,0.128,0.038,0.1
8,AIN DEFLA,BOURACHED,Zone IIb,48,0.127,0.025,0.1
14,BLIDA,BOUARFA,Zone III,51,0.124,0.037,0.1
15,BLIDA,OUED EL ALLEUG,Zone III,41,0.123,0.037,0.1
62,ALGER,BORDJ BOU ARRERIDJ,Zone III,2,0.121,0.036,0.0
22,BOUMERDES,OULED HEDADJ,Zone III,37,0.115,0.034,0.1
16,BLIDA,OULED SLAMA,Zone IIb,22,0.113,0.023,0.1
63,ALGER,OULED MOUSSA,Zone III,19,0.111,0.033,0.1
64,ALGER,CASBAH,Zone III,33,0.109,0.033,0.1
22,TIPAZA,SIDI GHILES,Zone III,34,0.108,0.032,0.1
5,CHLEF,TENES,Zone III,12,0.099,0.03,0.0
23,TIPAZA,BOUHAROUN,Zone III,38,0.093,0.028,0.1
6,CHLEF,OUED FODDA,Zone III,21,0.091,0.027,0.0
23,BOUMERDES,BEN CHOUD,Zone IIb,40,0.087,0.017,0.1
65,ALGER,KOLEA,Zone III,11,0.085,0.025,0.1
66,ALGER,EL MAGHARIA,Zone III,11,0.084,0.025,0.1
67,ALGER,CHEBLI,Zone III,10,0.082,0.025,0.0
68,ALGER,KHEMIS EL KHECHNA,Zone III,12,0.069,0.021,0.0
24,TIPAZA,MESSELMOUN,Zone III,20,0.067,0.02,0.0
9,AIN DEFLA,AIN BENIAN (AIN DEFLA),Zone III,6,0.065,0.02,0.0
17,BLIDA,BEN KHELIL,Zone III,32,0.065,0.019,0.1
24,BOUMERDES,SI MUSTAPHA,Zone III,27,0.063,0.019,0.0
69,ALGER,OUED KORICHE,Zone III,16,0.062,0.019,0.0
